Variable,All,Survived,Died,Type
AGE,2.0 [1.0–2.0],2.0 [1.0–2.0],2.0 [1.0–3.0],median [IQR]
GCS,14.0 [13.0–15.0],15.0 [13.0–15.0],13.0 [10.0–14.0],median [IQR]
CSFWBC,131.5 [23.2–343.8],140.0 [31.0–352.0],82.0 [15.0–304.0],median [IQR]
totalcsfneutro,51.9 [17.1–164.0],53.9 [20.2–153.2],50.6 [4.2–173.1],median [IQR]
totalcsflympho,101.2 [19.2–226.9],109.5 [28.1–248.0],60.8 [8.0–157.8],median [IQR]
symp_dur,15.5 [11.0–22.0],15.0 [11.0–20.0],18.0 [11.5–30.0],median [IQR]
BMI,1.0 [0.0–1.0],1.0 [0.0–1.0],1.0 [0.0–1.0],median [IQR]
SEX,267 (65.0%),208 (66.7%),59 (59.6%),n (%)
HIV,74 (17.9%),47 (15.0%),27 (27.3%),n (%)
DIAGNOSTIC_SCORE,491 (126.9%),366 (126.6%),125 (127.6%),n (%)
TBMGRADE,706 (170.9%),490 (156.1%),216 (218.2%),n (%)
History_TBT,31 (7.6%),19 (6.1%),12 (12.4%),n (%)
MYCORESULT,101 (34.9%),74 (32.5%),27 (44.3%),n (%)
GeneXpert,107 (33.2%),78 (30.5%),29 (43.9%),n (%)
ZNSMEAR,100 (26.5%),72 (25.4%),28 (29.8%),n (%)
